symbol,symbol,name,lastsale,marketcap,ipoyear,sector,industry
CCNE,CCNE,CNB Financial Corporation,27.01,410500000.0,,Finance,Major Banks
CCNI,CCNI,"Command Center, Inc.",7.8,112840000.0,,Technology,Professional Services
CCO,CCO,"Clear Channel Outdoor Holdings, Inc.",2.31,1080000000.0,2005.0,Consumer Services,Advertising
CCOI,CCOI,"Cogent Communications Holdings, Inc.",56.7,2630000000.0,,Consumer Services,Telecommunications Equipment
CCR,CCR,CONSOL Coal Resources LP,13.5,373040000.0,2015.0,Energy,Coal Mining
CCRC,CCRC,"China Customer Relations Centers, Inc.",9.3,170470000.0,2015.0,Miscellaneous,Business Services
CCRN,CCRN,"Cross Country Healthcare, Inc.",10.0,368900000.0,2001.0,Technology,Professional Services
CCS,CCS,"Century Communities, Inc.",27.57,839190000.0,2014.0,Capital Goods,Homebuilding
CCU,CCU,"Compania Cervecerias Unidas, S.A.",27.28,5040000000.0,,Consumer Non-Durables,Beverages (Production/Distribution)
CCX,CCX,Churchill Capital Corp II,9.93,2980000.0,2019.0,Finance,Business Services
CCXI,CCXI,"ChemoCentryx, Inc.",7.11,414160000.0,2012.0,Health Care,Major Pharmaceuticals
CDAY,CDAY,Ceridian HCM Holding Inc.,51.59,7200000000.0,2018.0,Technology,Computer Software: Prepackaged Software
CDC,CDC,VictoryShares US EQ Income Enhanced Volatility Wtd ETF,44.98,668010000.0,,,
CDE,CDE,"Coeur Mining, Inc.",5.59,1240000000.0,,Basic Industries,Precious Metals
CDEV,CDEV,"Centennial Resource Development, Inc.",4.68,1290000000.0,2016.0,Energy,Oil & Gas Production
CDK,CDK,"CDK Global, Inc.",49.71,6050000000.0,,Miscellaneous,Business Services
CDL,CDL,VictoryShares US Large Cap High Div Volatility Wtd ETF,46.475,332310000.0,,,
CDLX,CDLX,"Cardlytics, Inc.",32.95,743670000.0,2018.0,Technology,"Computer Software: Programming, Data Processing"
CDMO,CDMO,"Avid Bioservices, Inc.",6.6,370510000.0,,Health Care,Major Pharmaceuticals
CDNA,CDNA,"CareDx, Inc.",27.04,1150000000.0,2014.0,Health Care,Medical Specialities
CDNS,CDNS,"Cadence Design Systems, Inc.",71.37,19990000000.0,,Technology,Computer Software: Prepackaged Software
CDOR,CDOR,"Condor Hospitality Trust, Inc.",10.99,130960000.0,,Consumer Services,Real Estate Investment Trusts
CDR,CDR,"Cedar Realty Trust, Inc.",2.45,218100000.0,,Consumer Services,Real Estate Investment Trusts
CDTX,CDTX,"Cidara Therapeutics, Inc.",1.28,34100000.0,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CDW,CDW,CDW Corporation,112.69,16309999999.999998,2013.0,Consumer Services,Catalog/Specialty Distribution
CDXC,CDXC,ChromaDex Corporation,4.4758,248500000.0,,Consumer Durables,Specialty Chemicals
CDXS,CDXS,"Codexis, Inc.",14.15,814890000.0,2010.0,Basic Industries,Major Chemicals
CDZI,CDZI,"Cadiz, Inc.",12.45,335320000.0,,Public Utilities,Water Supply
CE,CE,Celanese Corporation,109.14,13510000000.0,2005.0,Basic Industries,Major Chemicals
CEA,CEA,China Eastern Airlines Corporation Ltd.,24.02,6950000000.0,1997.0,Transportation,Air Freight/Delivery Services
CECE,CECE,CECO Environmental Corp.,7.72,270600000.0,,Capital Goods,Pollution Control Equipment
CECO,CECO,Career Education Corporation,21.14,1480000000.0,1998.0,Consumer Services,Other Consumer Services
CEE,CEE,"The Central and Eastern Europe Fund, Inc.",25.993,177860000.0,,,
CEI,CEI,"Camber Energy, Inc.",0.294,3690000.0,,Energy,Oil & Gas Production
CEIX,CEIX,CNX Resources Corporation,18.14,500860000.0,2017.0,Energy,Coal Mining
CEL,CEL,"Cellcom Israel, Ltd.",2.64,306760000.0,2007.0,Public Utilities,Telecommunications Equipment
CELC,CELC,Celcuity Inc.,20.04,204590000.0,2017.0,Health Care,Medical Specialities
CELG,CELG,Celgene Corporation,95.3,67540000000.00001,1987.0,Health Care,Major Pharmaceuticals
CELH,CELH,"Celsius Holdings, Inc.",4.81,275650000.0,,Consumer Non-Durables,Beverages (Production/Distribution)
CELP,CELP,"Cypress Energy Partners, L.P.",6.919,83390000.0,2014.0,Energy,Oilfield Services/Equipment
CEM,CEM,ClearBridge MLP and Midstream Fund Inc.,11.39,802030000.0,2010.0,,
CEMI,CEMI,"Chembio Diagnostics, Inc.",6.01,103170000.0,,Health Care,Major Pharmaceuticals
CEN,CEN,Center Coast Brookfield MLP & Energy Infrastructur,7.51,253140000.0,2013.0,,
CENT,CENT,Central Garden & Pet Company,23.84,1380000000.0,1993.0,Consumer Durables,Consumer Specialties
CENX,CENX,Century Aluminum Company,7.115,632480000.0,1996.0,Basic Industries,Aluminum
CEO,CEO,CNOOC Limited,153.73,1560000000.0,2001.0,Energy,Oil & Gas Production
CEPU,CEPU,Central Puerto S.A.,8.37,1270000000.0,2018.0,Public Utilities,Electric Utilities: Central
CEQP,CEQP,Crestwood Equity Partners LP,33.86,2430000000.0,,Consumer Services,Other Consumer Services
CERC,CERC,Cerecor Inc.,3.54,151460000.0,2015.0,Health Care,Major Pharmaceuticals
CERN,CERN,Cerner Corporation,71.49,22760000000.0,1986.0,Technology,EDP Services
CERS,CERS,Cerus Corporation,5.26,738090000.0,1997.0,Health Care,Medical/Dental Instruments
CET,CET,Central Securities Corporation,30.54,778240000.0,,,
CETV,CETV,Central European Media Enterprises Ltd.,4.68,1190000000.0,1994.0,Consumer Services,Broadcasting
CETX,CETX,Cemtrex Inc.,1.63,4050000.0,,Capital Goods,Industrial Machinery/Components
CEV,CEV,Eaton Vance California Municipal Income Trust,13.3,94880000.0,1999.0,,
CEVA,CEVA,"CEVA, Inc.",31.5,692190000.0,,Technology,Semiconductors
CEY,CEY,VictoryShares Emerging Market High Div Volatility Wtd ETF,22.78,42150000.0,,,
CEZ,CEZ,VictoryShares Emerging Market Volatility Wtd ETF,24.8255,44690000.0,,,
CF,CF,"CF Industries Holdings, Inc.",52.15,11390000000.0,2005.0,Basic Industries,Agricultural Chemicals
CFA,CFA,VictoryShares US 500 Volatility Wtd ETF,52.39,762250000.0,,,
CFBI,CFBI,"Community First Bancshares, Inc.",10.0,74250000.0,2017.0,Finance,Savings Institutions
CFBK,CFBK,Central Federal Corporation,12.29,54250000.0,,Finance,Savings Institutions
CFFA,CFFA,CF Finance Acquisition Corp.,10.02,359950000.0,2019.0,Finance,Business Services
CFFI,CFFI,C&F Financial Corporation,54.13,185790000.0,,Finance,Major Banks
CFFN,CFFN,"Capitol Federal Financial, Inc.",13.365,1890000000.0,,Finance,Savings Institutions
CFG,CFG,"Citizens Financial Group, Inc.",33.5,15340000000.0,2014.0,Finance,Major Banks
CFMS,CFMS,"ConforMIS, Inc.",1.74,119500000.0,2015.0,Health Care,Industrial Specialties
CFO,CFO,VictoryShares US 500 Enhanced Volatility Wtd ETF,48.8,785690000.0,,,
CFR,CFR,"Cullen/Frost Bankers, Inc.",88.29,5530000000.0,,Finance,Major Banks
CFRX,CFRX,ContraFect Corporation,0.42,33350000.0,2014.0,Health Care,Major Pharmaceuticals
CFX,CFX,Colfax Corporation,26.65,3130000000.0,2008.0,Capital Goods,Fluid Controls
CG,CG,The Carlyle Group L.P.,23.7,8090000000.0,2012.0,Finance,Investment Managers
CGA,CGA,"China Green Agriculture, Inc.",3.66,14580000.0,,Basic Industries,Agricultural Chemicals
CGBD,CGBD,"TCG BDC, Inc.",14.23,862530000.0,2017.0,,
CGC,CGC,Canopy Growth Corporation,32.86,11390000000.0,,Consumer Durables,Specialty Chemicals
CGEN,CGEN,Compugen Ltd.,3.57,222750000.0,2000.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CGIX,CGIX,"Cancer Genetics, Inc.",0.1387,8020000.0,,Health Care,Medical Specialities
CGNX,CGNX,Cognex Corporation,44.54,7600000000.0,1989.0,Capital Goods,Industrial Machinery/Components
CGO,CGO,Calamos Global Total Return Fund,12.9,111670000.0,2005.0,,
CHA,CHA,China Telecom Corp Ltd,43.13,34910000000.0,2002.0,Public Utilities,Telecommunications Equipment
CHAC,CHAC,Chardan Healthcare Acquisition Corp.,10.39,104550000.0,2019.0,Finance,Business Services
CHAP,CHAP,"Chaparral Energy, Inc.",2.41,111680000.0,,Energy,Oil & Gas Production
CHCI,CHCI,"Comstock Holding Companies, Inc.",2.15,8350000.0,2004.0,Capital Goods,Homebuilding
CHCO,CHCO,City Holding Company,74.87,1230000000.0,,Finance,Major Banks
CHCT,CHCT,Community Healthcare Trust Incorporated,42.85,808270000.0,2015.0,Consumer Services,Real Estate Investment Trusts
CHD,CHD,"Church & Dwight Company, Inc.",77.2,19080000000.0,,Basic Industries,Package Goods/Cosmetics
CHDN,CHDN,"Churchill Downs, Incorporated",121.48,4860000000.0,,Consumer Services,Services-Misc. Amusement & Recreation
CHE,CHE,Chemed Corp.,427.06,6800000000.0,,Health Care,Medical/Nursing Services
CHEF,CHEF,"The Chefs&#39; Warehouse, Inc.",37.95,1150000000.0,2011.0,Consumer Non-Durables,Food Distributors
CHEK,CHEK,Check-Cap Ltd.,2.0,16469999.999999998,2015.0,Health Care,Medical Electronics
CHFS,CHFS,"CHF Solutions, Inc.",2.51,5690000.0,,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CHGG,CHGG,"Chegg, Inc.",44.99,5380000000.0,2013.0,Consumer Services,Other Consumer Services
CHH,CHH,"Choice Hotels International, Inc.",88.58,4930000000.0,,Consumer Services,Hotels/Resorts
CHI,CHI,Calamos Convertible Opportunities and Income Fund,10.47,742040000.0,2002.0,,
CHIC,CHIC,Global X Funds Global X MSCI China Communication Services ETF,21.04,21040000.0,,,
CHK,CHK,Chesapeake Energy Corporation,1.47,2400000000.0,,Energy,Oil & Gas Production
CHKP,CHKP,Check Point Software Technologies Ltd.,111.7,17010000000.000002,1996.0,Technology,Computer Software: Prepackaged Software
CHKR,CHKR,Chesapeake Granite Wash Trust,1.005,46980000.0,2011.0,Energy,Oil & Gas Production
CHL,CHL,China Mobile (Hong Kong) Ltd.,40.51,165890000000.0,,Public Utilities,Telecommunications Equipment
CHMA,CHMA,"Chiasma, Inc.",5.06,160790000.0,2015.0,Health Care,Major Pharmaceuticals
CHMG,CHMG,Chemung Financial Corp,42.98,209230000.0,,Finance,Major Banks
CHMI,CHMI,Cherry Hill Mortgage Investment Corporation,14.88,249530000.0,2013.0,Consumer Services,Real Estate Investment Trusts
CHN,CHN,"China Fund, Inc. (The)",19.08,206290000.0,,,
CHNA,CHNA,Loncar China BioPharma ETF,21.4993,3760000.0,,,
CHNG,CHNG,Change Healthcare Inc.,13.39,1670000000.0,2019.0,Technology,EDP Services
CHNR,CHNR,"China Natural Resources, Inc.",1.28,31890000.0,,Basic Industries,Precious Metals
CHRA,CHRA,"Charah Solutions, Inc.",5.28,156050000.0,2018.0,Basic Industries,Environmental Services
CHRS,CHRS,"Coherus BioSciences, Inc.",19.72,1380000000.0,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CHRW,CHRW,"C.H. Robinson Worldwide, Inc.",86.07,11750000000.0,1997.0,Transportation,Oil Refining/Marketing
CHS,CHS,"Chico&#39;s FAS, Inc.",3.23,380960000.0,,Consumer Services,Clothing/Shoe/Accessory Stores
CHSCL,CHSCL,CHS Inc,27.2,563040000.0,,Consumer Services,Farming/Seeds/Milling
CHSP,CHSP,Chesapeake Lodging Trust,26.73,1620000000.0,2010.0,Consumer Services,Real Estate Investment Trusts
CHT,CHT,"Chunghwa Telecom Co., Ltd.",34.01,26380000000.0,,Public Utilities,Telecommunications Equipment
CHTR,CHTR,"Charter Communications, Inc.",380.03,84170000000.0,,Consumer Services,Television Services
CHU,CHU,China Unicom (Hong Kong) Ltd,9.27,28360000000.0,,Public Utilities,Telecommunications Equipment
CHUY,CHUY,"Chuy&#39;s Holdings, Inc.",23.85,400000000.0,2012.0,Consumer Services,Restaurants
CHW,CHW,Calamos Global Dynamic Income Fund,7.97,471780000.0,2007.0,,
CHWY,CHWY,"Chewy, Inc.",33.95,13530000000.0,2019.0,Consumer Services,Catalog/Specialty Distribution
CHY,CHY,Calamos Convertible and High Income Fund,11.22,820870000.0,2003.0,,
CI,CI,Cigna Corporation,166.6,62910000000.0,,Health Care,Medical Specialities
CIA,CIA,"Citizens, Inc.",6.81,342070000.0,,Finance,Life Insurance
CIB,CIB,BanColombia S.A.,50.57,12160000000.0,,Finance,Commercial Banks
CIBR,CIBR,First Trust NASDAQ Cybersecurity ETF,29.36,977690000.0,,,
CID,CID,VictoryShares International High Div Volatility Wtd ETF,30.9624,86690000.0,,,
CIDM,CIDM,Cinedigm Corp,1.24,46720000.0,,Consumer Services,Consumer Electronics/Video Chains
CIEN,CIEN,Ciena Corporation,43.88,6810000000.0,1997.0,Public Utilities,Telecommunications Equipment
CIF,CIF,Colonial Intermediate High Income Fund,2.57,50410000.0,,,
CIFS,CIFS,China Internet Nationwide Financial Services Inc.,1.8768,41500000.0,2017.0,Consumer Services,Professional Services
CIG,CIG,Comp En De Mn Cemig ADS,3.65,5320000000.0,,Public Utilities,Electric Utilities: Central
CIGI,CIGI,Colliers International Group Inc. ,71.75,2750000000.0,,Finance,Real Estate
CIH,CIH,China Index Holdings Limited,2.395,230190000.0,,Technology,EDP Services
CII,CII,Blackrock Capital and Income Strategies Fund Inc,15.78,696240000.0,2004.0,,
CIK,CIK,"Credit Suisse Asset Management Income Fund, Inc.",3.16,165280000.0,,,
CIL,CIL,VictoryShares International Volatility Wtd ETF,36.6764,82520000.0,,,
CIM,CIM,Chimera Investment Corporation,19.89,3720000000.0,2007.0,Consumer Services,Real Estate Investment Trusts
CINF,CINF,Cincinnati Financial Corporation,109.73,17920000000.0,,Finance,Property-Casualty Insurers
CINR,CINR,Ciner Resources LP,15.8,311870000.0,2013.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CIO,CIO,"City Office REIT, Inc.",12.86,509860000.0,2014.0,Consumer Services,Real Estate Investment Trusts
CIR,CIR,"CIRCOR International, Inc.",37.62,748820000.0,,Capital Goods,Metal Fabrications
CISN,CISN,Cision Ltd.,9.85,1460000000.0,2017.0,Technology,Computer Software: Prepackaged Software
CIT,CIT,CIT Group Inc (DEL),46.08,4360000000.0,,Finance,Major Banks
CIVB,CIVB,"Civista Bancshares, Inc. ",21.09,330330000.0,,Finance,Major Banks
CIX,CIX,CompX International Inc.,14.61,181680000.0,1998.0,Capital Goods,Industrial Machinery/Components
CIZ,CIZ,VictoryShares Developed Enhanced Volatility Wtd ETF,30.735,106030000.0,,,
CIZN,CIZN,Citizens Holding Company,20.76,101970000.0,,Finance,Major Banks
CJ,CJ,"C&J Energy Services, Inc",9.88,652580000.0,2017.0,Energy,Oilfield Services/Equipment
CJJD,CJJD,"China Jo-Jo Drugstores, Inc.",1.095,36070000.0,,Health Care,Medical/Nursing Services
CKH,CKH,"SEACOR Holdings, Inc.",47.54,881870000.0,,Transportation,Marine Transportation
CKPT,CKPT,"Checkpoint Therapeutics, Inc.",2.49,90050000.0,,Health Care,Major Pharmaceuticals
CKX,CKX,"CKX Lands, Inc.",9.1,17680000.0,,Energy,Oil & Gas Production
CL,CL,Colgate-Palmolive Company,71.71,61530000000.0,,Consumer Non-Durables,Package Goods/Cosmetics
CLAR,CLAR,Clarus Corporation,11.26,337730000.0,,Consumer Non-Durables,Recreational Products/Toys
CLB,CLB,Core Laboratories N.V.,40.75,1810000000.0,1995.0,Energy,Oilfield Services/Equipment
CLBK,CLBK,"Columbia Financial, Inc.",15.29,1770000000.0,2018.0,Finance,Savings Institutions
CLBS,CLBS,"Caladrius Biosciences, Inc.",2.73,28340000.0,,Health Care,Hospital/Nursing Management
CLCT,CLCT,"Collectors Universe, Inc.",22.99,210320000.0,1999.0,Miscellaneous,Business Services
CLDB,CLDB,Cortland Bancorp,23.3,102030000.0,,Finance,Savings Institutions
CLDC,CLDC,China Lending Corporation,0.7,17700000.0,2014.0,Finance,Diversified Financial Services
CLDR,CLDR,"Cloudera, Inc.",7.01,1920000000.0,2017.0,Technology,Computer Software: Prepackaged Software
CLDT,CLDT,Chatham Lodging Trust (REIT),17.32,812650000.0,2010.0,Consumer Services,Real Estate Investment Trusts
CLDX,CLDX,"Celldex Therapeutics, Inc.",2.21,30430000.0,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
CLF,CLF,Cleveland-Cliffs Inc.,8.98,2430000000.0,,Basic Industries,Precious Metals
CLFD,CLFD,"Clearfield, Inc.",12.46,170100000.0,,Public Utilities,Telecommunications Equipment
CLGN,CLGN,CollPlant Biotechnologies Ltd.,3.45,13160000.0,,,
CLGX,CLGX,"CoreLogic, Inc.",46.74,3750000000.0,,Technology,EDP Services
CLH,CLH,"Clean Harbors, Inc.",78.07,4360000000.0,,Basic Industries,Environmental Services
CLI,CLI,Mack-Cali Realty Corporation,22.46,2030000000.0,,Consumer Services,Real Estate Investment Trusts
CLIR,CLIR,ClearSign Combustion Corporation,1.24,33110000.0,2012.0,Capital Goods,Industrial Machinery/Components
CLLS,CLLS,Cellectis S.A.,13.9,589990000.0,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,CLM,"Cornerstone Strategic Value Fund, Inc.",11.82,857940000.0,1987.0,,
CLMT,CLMT,"Calumet Specialty Products Partners, L.P.",4.68,362560000.0,2006.0,Energy,Integrated oil Companies
CLNC,CLNC,"Colony Credit Real Estate, Inc.",16.05,2060000000.0,2018.0,Consumer Services,Real Estate Investment Trusts
CLNE,CLNE,Clean Energy Fuels Corp.,2.625,537220000.0,2007.0,Public Utilities,Natural Gas Distribution
CLNY,CLNY,"Colony Capital, Inc.",5.53,2690000000.0,2014.0,Consumer Services,Real Estate Investment Trusts
CLOU,CLOU,Global X Cloud Computing ETF,15.88,505810000.0,,,
CLPR,CLPR,Clipper Realty Inc.,11.2,199520000.0,2017.0,Consumer Services,Real Estate Investment Trusts
CLPS,CLPS,CLPS Incorporation,5.36,74570000.0,2018.0,Technology,Computer Software: Prepackaged Software
CLR,CLR,"Continental Resources, Inc.",31.73,11880000000.0,2007.0,Energy,Oil & Gas Production
CLRB,CLRB,"Cellectar Biosciences, Inc.",2.2,20670000.0,,Health Care,Major Pharmaceuticals
CLRG,CLRG,IQ Chaikin U.S. Large Cap ETF,24.68,261610000.0,,,
CLRO,CLRO,"ClearOne, Inc.",2.44,40580000.0,,Public Utilities,Telecommunications Equipment
CLS,CLS,"Celestica, Inc.",6.92,759970000.0,1998.0,Technology,Electrical Products
CLSD,CLSD,"Clearside Biomedical, Inc.",1.28,48120000.0,2016.0,Health Care,Major Pharmaceuticals
CLSN,CLSN,Celsion Corporation,1.73,35440000.0,,Health Care,Major Pharmaceuticals
CLUB,CLUB,"Town Sports International Holdings, Inc.",1.46,40830000.0,2006.0,Consumer Services,Hotels/Resorts
CLVS,CLVS,"Clovis Oncology, Inc.",5.825,318370000.0,2011.0,Health Care,Major Pharmaceuticals
CLW,CLW,Clearwater Paper Corporation,17.81,294130000.0,,Basic Industries,Paper
CLWT,CLWT,Euro Tech Holdings Company Limited,3.8693,7980000.0,1997.0,Consumer Durables,Diversified Electronic Products
CLX,CLX,Clorox Company (The),158.98,20250000000.0,,Consumer Durables,Specialty Chemicals
CLXT,CLXT,"Calyxt, Inc.",7.8,255080000.0,2017.0,Basic Industries,Agricultural Chemicals
CM,CM,Canadian Imperial Bank of Commerce,76.67,34110000000.0,,Finance,Commercial Banks
CMA,CMA,Comerica Incorporated,63.22,9440000000.0,,Finance,Major Banks
CMBM,CMBM,Cambium Networks Corporation,9.15,234310000.0,2019.0,Technology,Radio And Television Broadcasting And Communications Equipment
CMC,CMC,Commercial Metals Company,16.85,1990000000.0,,Basic Industries,Steel/Iron Ore
CMCL,CMCL,Caledonia Mining Corporation Plc,6.2,66650000.00000001,,Basic Industries,Precious Metals
CMCM,CMCM,Cheetah Mobile Inc.,3.27,468700000.0,2014.0,Technology,Computer Software: Prepackaged Software
CMCO,CMCO,Columbus McKinnon Corporation,35.1,829110000.0,1996.0,Capital Goods,Construction/Ag Equipment/Trucks
CMCSA,CMCSA,Comcast Corporation,42.66,193890000000.0,,Consumer Services,Television Services
CMCT,CMCT,CIM Commercial Trust Corporation,20.1,880500000.0,,Consumer Services,Real Estate Investment Trusts
CMD,CMD,Cantel Medical Corp.,91.25,3810000000.0,,Health Care,Medical/Dental Instruments
CME,CME,CME Group Inc.,211.06,75550000000.0,2002.0,Finance,Investment Bankers/Brokers/Service
CMFN,CMFN,CM Finance Inc,7.2833,99200000.0,2014.0,,
CMG,CMG,"Chipotle Mexican Grill, Inc.",814.05,22570000000.0,2006.0,Consumer Services,Restaurants
CMI,CMI,Cummins Inc.,153.72,24260000000.0,,Energy,Industrial Machinery/Components
CMLS,CMLS,Cumulus Media Inc.,14.67,248260000.0,,Consumer Services,Broadcasting
CMO,CMO,Capstead Mortgage Corporation,8.29,784290000.0,,Consumer Services,Real Estate Investment Trusts
CMP,CMP,"Compass Minerals International, Inc.",53.85,1820000000.0,2003.0,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CMPR,CMPR,Cimpress N.V,113.57,3460000000.0,,Miscellaneous,Publishing
CMRE,CMRE,Costamare Inc.,5.51,625800000.0,2010.0,Transportation,Marine Transportation
CMRX,CMRX,"Chimerix, Inc.",2.92,178330000.0,2013.0,Health Care,Major Pharmaceuticals
CMS,CMS,CMS Energy Corporation,60.07,17050000000.0,,Public Utilities,Power Generation
CMT,CMT,Core Molding Technologies Inc,6.48,52780000.0,,Consumer Non-Durables,Plastic Products
CMTL,CMTL,Comtech Telecommunications Corp.,28.65,691550000.0,,Technology,Radio And Television Broadcasting And Communications Equipment
CMU,CMU,Colonial Municipal Income Trust,4.78,135370000.0,1987.0,,
CNA,CNA,CNA Financial Corporation,48.47,13160000000.0,,Finance,Property-Casualty Insurers
CNAC,CNAC,Constellation Alpha Capital Corp.,10.38,55460000.0,2017.0,Health Care,Medical Specialities
CNAT,CNAT,Conatus Pharmaceuticals Inc.,0.3028,10040000.0,2013.0,Health Care,Major Pharmaceuticals
CNBKA,CNBKA,"Century Bancorp, Inc.",82.37,458630000.0,1987.0,Finance,Major Banks
CNC,CNC,Centene Corporation,49.45,20450000000.0,,Health Care,Medical Specialities
CNCE,CNCE,"Concert Pharmaceuticals, Inc.",10.34,246090000.0,2014.0,Health Care,Major Pharmaceuticals
CNCR,CNCR,Loncar Cancer Immunotherapy ETF,20.5437,36980000.0,,,
CNDT,CNDT,Conduent Incorporated,8.66,1820000000.0,2016.0,Miscellaneous,Business Services
CNET,CNET,"ChinaNet Online Holdings, Inc.",1.29,21170000.0,,Technology,"Computer Software: Programming, Data Processing"
CNF,CNF,CNFinance Holdings Limited,5.6698,388850000.0,2018.0,Finance,Finance: Consumer Services
CNFR,CNFR,"Conifer Holdings, Inc.",3.81,36260000.0,2015.0,Finance,Property-Casualty Insurers
CNHI,CNHI,CNH Industrial N.V.,9.32,12590000000.0,2013.0,Capital Goods,Construction/Ag Equipment/Trucks
CNI,CNI,Canadian National Railway Company,94.0,67750000000.0,,Transportation,Railroads
CNK,CNK,Cinemark Holdings Inc,39.42,4620000000.0,2007.0,Consumer Services,Movies/Entertainment
CNMD,CNMD,CONMED Corporation,95.93,2710000000.0,1987.0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CNNE,CNNE,"Cannae Holdings, Inc.",30.88,2230000000.0,2017.0,Consumer Services,Restaurants
CNO,CNO,"CNO Financial Group, Inc.",15.85,2480000000.0,,Finance,Accident &Health Insurance
CNOB,CNOB,"ConnectOne Bancorp, Inc.",20.915,739410000.0,,Finance,Major Banks
CNP,CNP,"CenterPoint Energy, Inc.",27.83,13980000000.0,,Public Utilities,Electric Utilities: Central
CNQ,CNQ,Canadian Natural Resources Limited,24.45,29060000000.0,,Energy,Oil & Gas Production
CNR,CNR,"Cornerstone Building Brands, Inc.",4.52,567320000.0,,Capital Goods,Metal Fabrications
CNS,CNS,Cohen & Steers Inc,53.16,2510000000.0,2004.0,Finance,Investment Managers
CNSL,CNSL,"Consolidated Communications Holdings, Inc.",4.77,343800000.0,2005.0,Public Utilities,Telecommunications Equipment
CNST,CNST,"Constellation Pharmaceuticals, Inc.",8.2,211620000.0,2018.0,Health Care,Major Pharmaceuticals
CNTF,CNTF,China TechFaith Wireless Communication Technology Limited,0.44,4660000.0,2005.0,Miscellaneous,Business Services
CNTY,CNTY,"Century Casinos, Inc.",8.52,250820000.0,,Consumer Services,Hotels/Resorts
CNXM,CNXM,CNX Midstream Partners LP,14.09,898030000.0,2014.0,Public Utilities,Natural Gas Distribution
CNXN,CNXN,"PC Connection, Inc.",37.88,996930000.0,,Consumer Services,Catalog/Specialty Distribution
CO,CO,Global Cord Blood Corporation,5.51,669750000.0,,Finance,Business Services
COCP,COCP,"Cocrystal Pharma, Inc.",2.88,91070000.0,,Health Care,Major Pharmaceuticals
CODA,CODA,"Coda Octopus Group, Inc.",11.12,118670000.0,,Capital Goods,Industrial Machinery/Components
CODI,CODI,Compass Diversified Holdings,19.32,1160000000.0,2006.0,Consumer Durables,Home Furnishings
CODX,CODX,"Co-Diagnostics, Inc.",1.2801,21780000.0,2017.0,Health Care,Medical/Dental Instruments
COE,COE,China Online Education Group,5.89,120120000.0,2016.0,Consumer Services,Other Consumer Services
COF,COF,Capital One Financial Corporation,88.76,41750000000.0,1994.0,Finance,Major Banks
COG,COG,Cabot Oil & Gas Corporation,17.67,7390000000.0,1990.0,Energy,Oil & Gas Production
COHN,COHN,Cohen & Company Inc.,4.71,5740000.0,,Finance,Investment Bankers/Brokers/Service
COHR,COHR,"Coherent, Inc.",136.58,3300000000.0,,Capital Goods,Biotechnology: Laboratory Analytical Instruments
COHU,COHU,"Cohu, Inc.",13.43,550860000.0,,Capital Goods,Electrical Products
COKE,COKE,"Coca-Cola Consolidated, Inc.",336.55,3150000000.0,1972.0,Consumer Non-Durables,Beverages (Production/Distribution)
COLB,COLB,"Columbia Banking System, Inc.",34.97,2550000000.0,1992.0,Finance,Major Banks
COLD,COLD,Americold Realty Trust,34.5,6610000000.0,2018.0,Consumer Services,Real Estate Investment Trusts
COLL,COLL,"Collegium Pharmaceutical, Inc.",11.11,370930000.0,2015.0,Health Care,Major Pharmaceuticals
COLM,COLM,Columbia Sportswear Company,100.83,6810000000.0,1998.0,Consumer Non-Durables,Apparel
COMM,COMM,"CommScope Holding Company, Inc.",12.955,2510000000.0,2013.0,Technology,Radio And Television Broadcasting And Communications Equipment
COMT,COMT,iShares Commodities Select Strategy ETF,31.18,414690000.0,,,
CONE,CONE,CyrusOne Inc,65.04,7360000000.0,2013.0,Consumer Services,Real Estate Investment Trusts
CONN,CONN,"Conn&#39;s, Inc.",19.97,637480000.0,2003.0,Consumer Services,Consumer Electronics/Video Chains
COO,COO,"The Cooper Companies, Inc. ",334.14,16540000000.0,,Health Care,Ophthalmic Goods
COOP,COOP,Mr. Cooper Group Inc.,9.1,828790000.0,,Finance,Finance: Consumer Services
COP,COP,ConocoPhillips,55.07,61140000000.0,,Energy,Integrated oil Companies
COR,COR,CoreSite Realty Corporation,111.09,4099999999.999999,2010.0,Consumer Services,Real Estate Investment Trusts
CORE,CORE,"Core-Mark Holding Company, Inc.",35.57,1630000000.0,,Consumer Non-Durables,Food Distributors
CORR,CORR,"CorEnergy Infrastructure Trust, Inc.",45.97,589710000.0,,Consumer Services,Real Estate Investment Trusts
CORT,CORT,Corcept Therapeutics Incorporated,12.43,1410000000.0,2004.0,Health Care,Major Pharmaceuticals
CORV,CORV,Correvio Pharma Corp.,1.58,65260000.00000001,,Health Care,Major Pharmaceuticals
